Households,Longitude,Latitude,ViableDemand,Year of Electrification,NPV_grid,NPV_temp
34.13793103448276,-16.5620746935,15.7178084835,76.2939453125,10,72512.30387601047,34797.989231334606
42.241379310344826,-16.549432338,15.6651820605,76.2939453125,10,91161.10581008752,43058.117988267564
30.344827586206897,-16.404779136,15.6796431242,76.2939453125,10,72803.11787717184,30931.545983408538
13.620689655172415,-16.4047785841,15.6766917468,76.2939453125,10,26677.43973846751,12250.817048213376
9.827586206896552,-16.377985877,15.6797592961,76.2939453125,10,28754.755179126514,8839.197110736231
8.10344827586207,-16.5190859081,15.7188639008,76.2939453125,10,26008.56460204392,7288.460775519349
40.17241379310345,-16.3951862662,15.7242372449,76.2939453125,10,111965.93341313669,40949.14894394425
51.896551724137936,-16.3764042887,15.7379359447,76.2939453125,10,126901.59655172653,52899.97352844302
51.896551724137936,-16.4861327057,15.6625079785,76.2939453125,10,157924.20281532215,52899.97352844302
54.827586206896555,-16.4297819914,15.7993116625,76.2939453125,10,168658.05894049685,55887.679674567706
8.965517241379311,-16.4666909354,15.6625079969,76.2939453125,11,30134.87372312768,8309.760533209123
16.551724137931036,-16.4000049256,15.6547394798,76.2939453125,11,53823.393912794636,15341.096369001454
34.6551724137931,-16.4078993609,15.7937412458,76.2939453125,11,106789.00745381115,36860.010616748885
51.896551724137936,-16.384740448,15.8055471804,76.2939453125,11,138773.44109514658,55198.32435642496
40.17241379310345,-16.3876979041,15.7811354157,76.2939453125,11,110590.84922909921,42728.27101344522
21.896551724137932,-16.4218786198,15.7737820274,76.2939453125,11,71210.42995016821,23289.658449388597
29.82758620689655,-16.3930698137,15.7513917604,76.2939453125,11,96874.25559749341,31725.282769639587
22.758620689655174,-16.4994738908,15.7528105535,76.2939453125,11,81147.41255917662,24206.57413637241
13.620689655172415,-16.5444250715,15.6749523447,76.2939453125,11,51408.40653934055,12624.443886990779
15.344827586206897,-16.4738999747,15.6784299455,76.2939453125,11,57382.70137992663,14222.474758761764
10.172413793103448,-16.3736299776,15.7458322905,76.2939453125,11,40435.14950536819,9428.38214344881
18.27586206896552,-16.4528517558,15.7868589382,76.2939453125,11,68934.91630830229,16939.12724077244
20.517241379310345,-16.4851775896,15.6447388255,76.2939453125,11,77704.22111725512,21822.593350214516
6.8965517241379315,-16.4807593131,15.6453410978,95.367431640625,12,26982.26471887326,8195.782778655368
12.758620689655173,-16.3894664349,15.7730412399,95.367431640625,12,45557.78918489847,15162.198140512426
15.172413793103448,-16.481972793,15.6847257943,95.367431640625,12,53421.14935239977,18030.722113041807
13.965517241379311,-16.5430831142,15.723614413,95.367431640625,12,66693.30182179394,16596.460126777114
6.0344827586206895,-16.4886063516,15.6821346636,95.367431640625,13,33102.09342767959,7327.766337693346
16.03448275862069,-16.5139118679,15.6513986899,95.367431640625,13,99714.83129208685,19470.92198301375
6.0344827586206895,-16.5128756185,15.6501155106,119.20928955078125,14,20808.745038218247,9329.769233388313
8.620689655172415,-16.5153750806,15.6488532683,119.20928955078125,14,29068.89816793575,13328.241761983309
2.931034482758621,-16.5069633313,15.6486188163,119.20928955078125,14,19376.844383535965,4531.602199074325
18.10344827586207,-16.4571373752,15.8328649226,119.20928955078125,14,144588.5804788055,27989.30770016495
17.06896551724138,-16.4712756725,15.8250845155,119.20928955078125,15,81244.19224024065,26808.20613756898
